coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
f5cf0cb3-178b-409c-92f0-e8d23bbbbf40,story_image,url,image,remote/story_image/c23d38f1-de76-46f1-bca8-5ef8e2ee1c74.jpg,https://tetogames.com/static/openstory/tournament/1464/ai-1778599824.jpg,ai-1778599824.jpg,image/jpeg,318483,1024,2048,"",2a747dd44c25779028ead80cbd53f070fe0051856fc688541205cf07f811c9ef,"",2026-05-12 15:30:49.995000,2026-05-12 15:30:49.995000
c086e679-b06d-434a-b232-0b59ce6bf0ca,story_image,url,image,remote/story_image/02ca068e-834c-4786-9ec3-6d1ca3a54879.jpg,https://tetogames.com/static/openstory/tournament/1470/ai-1778599968.jpg,ai-1778599968.jpg,image/jpeg,260567,1024,2048,"",897fe4741bd7cb5c21a579660d2e904c4f4ad977f7f23512568fc420234a91f2,"",2026-05-12 15:33:04.206000,2026-05-12 15:33:04.206000
459cfb1d-da41-4a24-96e2-85bbf9206f88,story_image,url,image,remote/story_image/0ccd9745-2d73-4946-8bbd-cc0f915e72e2.jpg,https://tetogames.com/static/openstory/tournament/1459/ai-1778600077.jpg,ai-1778600077.jpg,image/jpeg,358604,1024,2048,"",721797daa9446e9e704dd96f89451bcb5c2e00b9ae2ceb3b2b8fe8bf01104f34,"",2026-05-12 15:34:55.709000,2026-05-12 15:34:55.709000
af100d7f-c5df-44ae-85d5-c846f96e11d4,story_image,url,image,remote/story_image/daf9ec36-7a9b-483a-8588-9726758cd1c6.jpg,https://tetogames.com/static/openstory/tournament/1459/ai-1778600788.jpg,ai-1778600788.jpg,image/jpeg,361302,1024,2048,"",b53817658f460d27ba15cb575aeaabe59804a9039e59723832fbc3ea49799075,"",2026-05-12 15:46:31.646000,2026-05-12 15:46:31.646000
d5a81523-914e-4b38-bbdd-cfb523934cf6,story_image,url,image,remote/story_image/25dd2fc0-7769-4d84-b85e-61f327d34818.jpg,https://tetogames.com/static/openstory/tournament/1462/ai-1778788572.jpg,ai-1778788572.jpg,image/jpeg,261948,1024,2048,"",55dbaa76c08d020740e369a90da919743616d0311ae1aa5e322fd37d46de6619,"",2026-05-14 19:56:27.302000,2026-05-14 19:56:27.302000
52ea97a2-a67d-46aa-9a85-ac20f2857ef2,story_image,cloud_upload,image,assets/story_image/fecdcc48-1f21-4db7-b77e-ecbafb2f329d.jpeg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/fecdcc48-1f21-4db7-b77e-ecbafb2f329d.jpeg,IMG_9170.jpeg,image/jpeg,139910,903,1600,"",ada76aee987704f005c0bf2fdd1d1236ea9caffa31050e7985b7418d1bcb8599,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-18 22:02:25.646000,2026-05-18 22:02:25.646000
3d3c663d-38b4-496c-93a3-840194ad3b7a,story_image,url,image,remote/story_image/877fd964-138f-40f4-8d72-ab529233071e.jpg,https://tetogames.com/static/openstory/tournament/1465/ai-1779167032.jpg,ai-1779167032.jpg,image/jpeg,353327,1024,2048,"",440b0f92eccce28b40c0beef2e30b301c6e4780f2a468c7d9c99bc4776056a37,"",2026-05-19 05:04:08.577000,2026-05-19 05:04:08.577000
1ec6fedf-e0a9-4333-882e-4194802f6925,story_image,url,image,remote/story_image/164c224f-7c60-4f3f-931c-4e2490ae45fd.jpg,https://tetogames.com/static/openstory/tournament/1471/ai-1779167205.jpg,ai-1779167205.jpg,image/jpeg,226396,1024,2048,"",18d230948c1e8fe46702cd25a7fc1209aa19f105a5c8ebd5413851ab7864cc7f,"",2026-05-19 05:14:10.367000,2026-05-19 05:14:10.367000
45216c3c-95b6-45de-8259-a750a488c9dc,story_image,url,image,remote/story_image/7845b00e-ab37-4a2b-9265-367a3c2b7ae7.jpg,https://tetogames.com/static/openstory/tournament/1472/ai-1779357966.jpg,ai-1779357966.jpg,image/jpeg,231680,1024,2048,"",2c95573cf63c3e6fe204a19e93f9ac7785dd42745b21d19cad7cfb7b789bb947,"",2026-05-21 10:06:17.620000,2026-05-21 10:06:17.620000
74bef0cd-9357-41c4-aa56-b3750094ed6f,story_image,url,image,remote/story_image/b5746434-b73b-4fac-baea-8c6811fe9505.jpg,https://tetogames.com/static/openstory/tournament/1473/ai-1779358158.jpg,ai-1779358158.jpg,image/jpeg,260762,1024,2048,"",05796411b99e85df1056037b6f49fc0d0d5aea9a3073a3cfc40564d35c0853a7,"",2026-05-21 10:10:27.964000,2026-05-21 10:10:27.964000
667f89c3-032f-461f-a5e8-a9eeccd05dda,story_image,cloud_upload,image,assets/story_image/6c93a423-0bf4-4dda-973e-70d4ce0f3082.jpeg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/6c93a423-0bf4-4dda-973e-70d4ce0f3082.jpeg,IMG_9263.jpeg,image/jpeg,199861,900,1600,"",bc75e5ce24e81ae8e1bdf782ec007cc7d94ac0e5fcc49bf89116cdfd53e63e43,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-23 15:49:57.517000,2026-05-23 15:49:57.517000
4f46f66b-509c-4f72-a4db-e1de5bc4d0da,story_image,cloud_upload,image,assets/story_image/78b5b367-1418-460f-b946-12537a58eccb.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/78b5b367-1418-460f-b946-12537a58eccb.jpg,Gemini_Generated_Image_ltdlqnltdlqnltdl.jpg,image/jpeg,305096,800,1433,"",fcecc31bd980a693156b9da745b8f9fa3e28a57df2da7db6e3511fad662e2fbd,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-24 23:01:30.265000,2026-05-24 23:01:30.265000
ecc6bee8-dece-459f-97b2-a94787190b6d,story_image,cloud_upload,image,assets/story_image/b69a1d22-dd92-4611-8b74-89e461cf7335.jpeg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/b69a1d22-dd92-4611-8b74-89e461cf7335.jpeg,IMG_9290.jpeg,image/jpeg,117463,902,1600,"",49b760c3c2cd6e6d8958aaada73802f49cdd146a463b261950588aa81b61f2f5,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-26 20:42:36.068000,2026-05-26 20:42:36.068000
356a8949-4651-4c71-bbde-84cef569c5be,story_image,url,image,remote/story_image/09326452-fa90-4b15-8b91-672c37d7aa6b.jpg,https://tetogames.com/static/openstory/tournament/1466/1778613088.jpg,1778613088.jpg,image/jpeg,1743361,1080,1920,"",0aa86e02f62081c6a018f604b2b262936d7243b4fa96f3c441ed002d90021ffb,"",2026-05-28 21:14:32.032000,2026-05-28 21:14:32.032000
386ea698-0e38-4d58-b0e9-fb4b008ae211,story_image,cloud_upload,image,assets/story_image/077f507b-66f8-4500-b4e2-539cf01addab.jpeg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/077f507b-66f8-4500-b4e2-539cf01addab.jpeg,IMG_9315.jpeg,image/jpeg,170075,840,1600,"",1ba99415b6d2835649666d50559899dcaa071d14c840832c26020ee123ab8f81,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 16:58:34.020000,2026-05-30 16:58:34.020000
16c77bb9-a404-45a1-b137-893d069e2205,story_image,cloud_upload,image,assets/story_image/35ba9bd3-153f-4b8f-b52d-5bdf8af38478.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/35ba9bd3-153f-4b8f-b52d-5bdf8af38478.jpg,Gemini_Generated_Image_amspkiamspkiamsp.jpg,image/jpeg,146821,893,1600,"",8e26fb4a539cf315410c43d77a8b31f3e3584b0fa3be1dd584f81a472ad5a8a9,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 22:06:15.153000,2026-05-30 22:06:15.153000
