coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
6bca69da-5a16-494b-826a-a53b84a35798,1e4576e3-e074-4c6e-a150-2185272e8ea3,1,Wild Rift Road to LEGENDS Promotion Stage Story,image,1ec6fedf-e0a9-4333-882e-4194802f6925,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1471&tournament_name=Wild+Rift+Road+to+LEGENDS+Promotion+Stage,published,"",2026-05-19 05:14:13.258000
998753b4-8b3f-4006-b844-39b268b4b9a7,6db60d85-248b-4143-ac90-33e27f711765,1,Wild Rift Road to LEGENDS Promotion Stage Story,image,1ec6fedf-e0a9-4333-882e-4194802f6925,"",5000,Detay,deeplink,/tournament_detail?id=1471&tournament_name=Wild+Rift+Road+to+LEGENDS+Promotion+Stage,published,"",2026-05-19 05:14:50.606000
ec97cdcc-ff37-4806-a063-79c0df854e8b,17435c4b-8bcb-42b9-9d60-eda08cb09a7c,1,Wild Rift Road to LEGENDS Last Chance Story,image,45216c3c-95b6-45de-8259-a750a488c9dc,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1472&tournament_name=Wild+Rift+Road+to+LEGENDS+Last+Chance,published,"",2026-05-21 10:06:21.139000
c8737e65-88f5-4174-a2d5-454b028432dd,f568ecaf-3a43-4329-9767-c0b61dd55e08,1,Wild Rift Road to LEGENDS Last Chance Story,image,45216c3c-95b6-45de-8259-a750a488c9dc,"",5000,Detay,deeplink,/tournament_detail?id=1472&tournament_name=Wild+Rift+Road+to+LEGENDS+Last+Chance,published,"",2026-05-21 10:06:59.963000
51a014f0-d034-4b75-bd4f-658463e67693,f9852b75-7e84-4f98-aba4-a48e78526289,1,Wild Rift Road to LEGENDS Büyük Final Story,image,74bef0cd-9357-41c4-aa56-b3750094ed6f,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1473&tournament_name=Wild+Rift+Road+to+LEGENDS+B%C3%BCy%C3%BCk+Final,published,"",2026-05-21 10:10:31.259000
05dbf868-0b25-4e93-a755-c8ddc9c807f9,65dfc407-4fa2-4697-bbbf-756631c23be7,1,Wild Rift Road to LEGENDS Büyük Final Story,image,74bef0cd-9357-41c4-aa56-b3750094ed6f,"",5000,Detay,deeplink,/tournament_detail?id=1473&tournament_name=Wild+Rift+Road+to+LEGENDS+B%C3%BCy%C3%BCk+Final,published,"",2026-05-21 10:11:09.802000
6651932d-1d30-4df8-ad4a-2a65ef23c65c,b3b59b44-3e67-4ec4-927f-b8b84fb02136,1,Romania Sezon 2 Aylık,image,667f89c3-032f-461f-a5e8-a9eeccd05dda,"","",Watch Now!,url,https://youtube.com/@tetogamestr,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-23 15:51:51.040000
6b2cdc96-845e-4647-98f7-fec6a0a4ee25,09357d4a-0727-48e3-83f5-cb3e7c0f4011,1,Romania Champion Sezon 2,image,4f46f66b-509c-4f72-a4db-e1de5bc4d0da,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-24 23:01:42.544000
64a40b9a-beb1-4dc8-b987-78c46e0c03e0,75400c62-8d55-4517-9199-0e4d6ba590c6,1,Kurban Bayramı,image,ecc6bee8-dece-459f-97b2-a94787190b6d,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-26 20:42:59.204000
bb4f43c0-7c96-4506-8adc-50211b62f81e,d33fd4b7-3274-47c6-8259-420b48ed1d05,1,Always-ON Azərbaycan Mövsüm 2 Aylıq Story,image,356a8949-4651-4c71-bbde-84cef569c5be,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1466&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+Ayl%C4%B1q,published,"",2026-05-28 21:14:35.195000
85ab7394-ac36-4b1f-b503-5d0a6f796de5,84203cf7-9f32-4dd1-b818-8f7835a52eda,1,Always-ON Azərbaycan Mövsüm 2 Aylıq Story,image,356a8949-4651-4c71-bbde-84cef569c5be,"",5000,Detay,deeplink,/tournament_detail?id=1466&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+Ayl%C4%B1q,published,"",2026-05-28 21:15:19.688000
e3fcf5a3-8ff4-46a4-a825-1c4a79c0138c,b85b6dde-0c79-43bd-b11f-2434a63fcf76,1,Live Stream,image,386ea698-0e38-4d58-b0e9-fb4b008ae211,"","",Live Srream,url,https://www.youtube.com/live/7qN70RDaV_s?si=N-xx94fGFnVnCpCf,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 17:00:35.848000
d82704c8-365c-4352-9859-86b0b0cecbfb,b85b6dde-0c79-43bd-b11f-2434a63fcf76,2,Live Stream,image,386ea698-0e38-4d58-b0e9-fb4b008ae211,"","",Live Srream,url,https://www.youtube.com/live/oEpcINh7Uo0?si=AGjO3tiVoXK7McTM,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 17:11:01.162000
c7c840d0-8ddf-49bc-b1dd-43b898f559b4,9c105ddc-f8f1-4326-9e14-5e1d46152260,1,Super Scrim,image,16c77bb9-a404-45a1-b137-893d069e2205,"","",Hemen Katıl!,url,https://tetogames.com/hub/63/,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 22:08:32.162000
9b42d0ca-e0da-413e-a963-ff3f005383dc,9c105ddc-f8f1-4326-9e14-5e1d46152260,2,Super Scrim,image,16c77bb9-a404-45a1-b137-893d069e2205,"","",Hemen Katıl!,deeplink,/hub_detail?id=63,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-30 22:14:38.072000
